service_id,date,exception_type
6960827-1111100-27,20190923,1
6960827-1111100-27,20191028,1
6960827-1111100-27,20190920,1
6960827-1111100-27,20190927,1
6960827-1111100-27,20190926,1
6960827-1111100-27,20190925,1
6960827-1111100-27,20190924,1
6960827-1111100-27,20191021,1
6960827-1111100-27,20191023,1
6960827-1111100-27,20191022,1
6960827-1111100-27,20191025,1
6960827-1111100-27,20191024,1
6960827-1111100-27,20191108,1
6960827-1111100-27,20191101,1
6960827-1111100-27,20191106,1
6960827-1111100-27,20191107,1
6960827-1111100-27,20191104,1
6960827-1111100-27,20191105,1
6960827-1111100-27,20191127,1
6960827-1111100-27,20191205,1
6960827-1111100-27,20191204,1
6960827-1111100-27,20190916,1
6960827-1111100-27,20190917,1
6960827-1111100-27,20190912,1
6960827-1111100-27,20190913,1
6960827-1111100-27,20190910,1
6960827-1111100-27,20190911,1
6960827-1111100-27,20191014,1
6960827-1111100-27,20190918,1
6960827-1111100-27,20190919,1
6960827-1111100-27,20191010,1
6960827-1111100-27,20191011,1
6960827-1111100-27,20191119,1
6960827-1111100-27,20191015,1
6960827-1111100-27,20191016,1
6960827-1111100-27,20191017,1
6960827-1111100-27,20191018,1
6960827-1111100-27,20191114,1
6960827-1111100-27,20191113,1
6960827-1111100-27,20191112,1
6960827-1111100-27,20191115,1
6960827-1111100-27,20191118,1
6960827-1111100-27,20191216,1
6960827-1111100-27,20191212,1
6960827-1111100-27,20191213,1
6960827-1111100-27,20191210,1
6960827-1111100-27,20191211,1
6960827-1111100-27,20190909,1
6960827-1111100-27,20190903,1
6960827-1111100-27,20190905,1
6960827-1111100-27,20190904,1
6960827-1111100-27,20190906,1
6960827-1111100-27,20191003,1
6960827-1111100-27,20191002,1
6960827-1111100-27,20191001,1
6960827-1111100-27,20191007,1
6960827-1111100-27,20191004,1
6960827-1111100-27,20191009,1
6960827-1111100-27,20191008,1
6960827-1111100-27,20191125,1
6960827-1111100-27,20191126,1
6960827-1111100-27,20191202,1
6960827-1111100-27,20191120,1
6960827-1111100-27,20191121,1
6960827-1111100-27,20191122,1
6960827-1111100-27,20191206,1
6960827-1111100-27,20191209,1
6960827-1111100-27,20190930,1
6960827-1111100-27,20191029,1
6960827-1111100-27,20191030,1
6960827-1111100-27,20191031,1
6960827-1111100-27,20191203,1
69612-1111100-0,20191107,1
69612-1111100-0,20190923,1
69612-1111100-0,20191028,1
69612-1111100-0,20190920,1
69612-1111100-0,20190927,1
69612-1111100-0,20190926,1
69612-1111100-0,20190925,1
69612-1111100-0,20190924,1
69612-1111100-0,20191021,1
69612-1111100-0,20191023,1
69612-1111100-0,20191022,1
69612-1111100-0,20191025,1
69612-1111100-0,20191024,1
69612-1111100-0,20191108,1
69612-1111100-0,20191101,1
69612-1111100-0,20191106,1
69612-1111100-0,20191126,1
69612-1111100-0,20191104,1
69612-1111100-0,20191105,1
69612-1111100-0,20191209,1
69612-1111100-0,20191127,1
69612-1111100-0,20200123,1
69612-1111100-0,20200122,1
69612-1111100-0,20200121,1
69612-1111100-0,20200120,1
69612-1111100-0,20191227,1
69612-1111100-0,20191226,1
69612-1111100-0,20200124,1
69612-1111100-0,20191122,1
69612-1111100-0,20191223,1
69612-1111100-0,20191206,1
69612-1111100-0,20190916,1
69612-1111100-0,20190917,1
69612-1111100-0,20190912,1
69612-1111100-0,20190913,1
69612-1111100-0,20190910,1
69612-1111100-0,20190911,1
69612-1111100-0,20191119,1
69612-1111100-0,20190918,1
69612-1111100-0,20190919,1
69612-1111100-0,20191010,1
69612-1111100-0,20191011,1
69612-1111100-0,20191220,1
69612-1111100-0,20191014,1
69612-1111100-0,20191015,1
69612-1111100-0,20191016,1
69612-1111100-0,20191017,1
69612-1111100-0,20191018,1
69612-1111100-0,20191114,1
69612-1111100-0,20191111,1
69612-1111100-0,20191113,1
69612-1111100-0,20191112,1
69612-1111100-0,20191115,1
69612-1111100-0,20191218,1
69612-1111100-0,20191118,1
69612-1111100-0,20200116,1
69612-1111100-0,20200117,1
69612-1111100-0,20200114,1
69612-1111100-0,20200115,1
69612-1111100-0,20191212,1
69612-1111100-0,20200113,1
69612-1111100-0,20200110,1
69612-1111100-0,20191211,1
69612-1111100-0,20190909,1
69612-1111100-0,20190903,1
69612-1111100-0,20190905,1
69612-1111100-0,20190904,1
69612-1111100-0,20190906,1
69612-1111100-0,20191202,1
69612-1111100-0,20191003,1
69612-1111100-0,20191002,1
69612-1111100-0,20191001,1
69612-1111100-0,20191007,1
69612-1111100-0,20191004,1
69612-1111100-0,20191009,1
69612-1111100-0,20191008,1
69612-1111100-0,20191125,1
69612-1111100-0,20200103,1
69612-1111100-0,20200102,1
69612-1111100-0,20191120,1
69612-1111100-0,20191121,1
69612-1111100-0,20200107,1
69612-1111100-0,20200106,1
69612-1111100-0,20200109,1
69612-1111100-0,20200108,1
69612-1111100-0,20191205,1
69612-1111100-0,20191129,1
69612-1111100-0,20191219,1
69612-1111100-0,20190930,1
69612-1111100-0,20191216,1
69612-1111100-0,20191029,1
69612-1111100-0,20191217,1
69612-1111100-0,20191204,1
69612-1111100-0,20191030,1
69612-1111100-0,20191031,1
69612-1111100-0,20191203,1
69612-1111100-0,20191213,1
69612-1111100-0,20191210,1
69612-1111100-0,20191230,1
69612-1111100-0,20191231,1
69609-1111100-0,20191107,1
69609-1111100-0,20190923,1
69609-1111100-0,20191028,1
69609-1111100-0,20190920,1
69609-1111100-0,20190927,1
69609-1111100-0,20190926,1
69609-1111100-0,20190925,1
69609-1111100-0,20190924,1
69609-1111100-0,20191021,1
69609-1111100-0,20191023,1
69609-1111100-0,20191022,1
69609-1111100-0,20191025,1
69609-1111100-0,20191024,1
69609-1111100-0,20191108,1
69609-1111100-0,20191101,1
69609-1111100-0,20191106,1
69609-1111100-0,20191126,1
69609-1111100-0,20191104,1
69609-1111100-0,20191105,1
69609-1111100-0,20191209,1
69609-1111100-0,20191127,1
69609-1111100-0,20200123,1
69609-1111100-0,20200122,1
69609-1111100-0,20200121,1
69609-1111100-0,20200120,1
69609-1111100-0,20191227,1
69609-1111100-0,20191226,1
69609-1111100-0,20200124,1
69609-1111100-0,20191122,1
69609-1111100-0,20191223,1
69609-1111100-0,20191206,1
69609-1111100-0,20190916,1
69609-1111100-0,20190917,1
69609-1111100-0,20190912,1
69609-1111100-0,20190913,1
69609-1111100-0,20190910,1
69609-1111100-0,20190911,1
69609-1111100-0,20191119,1
69609-1111100-0,20190918,1
69609-1111100-0,20190919,1
69609-1111100-0,20191010,1
69609-1111100-0,20191011,1
69609-1111100-0,20191220,1
69609-1111100-0,20191014,1
69609-1111100-0,20191015,1
69609-1111100-0,20191016,1
69609-1111100-0,20191017,1
69609-1111100-0,20191018,1
69609-1111100-0,20191114,1
69609-1111100-0,20191111,1
69609-1111100-0,20191113,1
69609-1111100-0,20191112,1
69609-1111100-0,20191115,1
69609-1111100-0,20191218,1
69609-1111100-0,20191118,1
69609-1111100-0,20200116,1
69609-1111100-0,20200117,1
69609-1111100-0,20200114,1
69609-1111100-0,20200115,1
69609-1111100-0,20191212,1
69609-1111100-0,20200113,1
69609-1111100-0,20200110,1
69609-1111100-0,20191211,1
69609-1111100-0,20190909,1
69609-1111100-0,20190903,1
69609-1111100-0,20190905,1
69609-1111100-0,20190904,1
69609-1111100-0,20190906,1
69609-1111100-0,20191202,1
69609-1111100-0,20191003,1
69609-1111100-0,20191002,1
69609-1111100-0,20191001,1
69609-1111100-0,20191007,1
69609-1111100-0,20191004,1
69609-1111100-0,20191009,1
69609-1111100-0,20191008,1
69609-1111100-0,20191125,1
69609-1111100-0,20200103,1
69609-1111100-0,20200102,1
69609-1111100-0,20191120,1
69609-1111100-0,20191121,1
69609-1111100-0,20200107,1
69609-1111100-0,20200106,1
69609-1111100-0,20200109,1
69609-1111100-0,20200108,1
69609-1111100-0,20191205,1
69609-1111100-0,20191129,1
69609-1111100-0,20191219,1
69609-1111100-0,20190930,1
69609-1111100-0,20191216,1
69609-1111100-0,20191029,1
69609-1111100-0,20191217,1
69609-1111100-0,20191204,1
69609-1111100-0,20191030,1
69609-1111100-0,20191031,1
69609-1111100-0,20191203,1
69609-1111100-0,20191213,1
69609-1111100-0,20191210,1
69609-1111100-0,20191230,1
69609-1111100-0,20191231,1
70242-1111100-0,20200408,1
70242-1111100-0,20200409,1
70242-1111100-0,20200529,1
70242-1111100-0,20200528,1
70242-1111100-0,20200527,1
70242-1111100-0,20200526,1
70242-1111100-0,20200323,1
70242-1111100-0,20200407,1
70242-1111100-0,20200325,1
70242-1111100-0,20200324,1
70242-1111100-0,20200327,1
70242-1111100-0,20200520,1
70242-1111100-0,20200414,1
70242-1111100-0,20200203,1
70242-1111100-0,20200206,1
70242-1111100-0,20200207,1
70242-1111100-0,20200204,1
70242-1111100-0,20200205,1
70242-1111100-0,20200129,1
70242-1111100-0,20200128,1
70242-1111100-0,20200127,1
70242-1111100-0,20200221,1
70242-1111100-0,20200415,1
70242-1111100-0,20200512,1
70242-1111100-0,20200513,1
70242-1111100-0,20200401,1
70242-1111100-0,20200511,1
70242-1111100-0,20200514,1
70242-1111100-0,20200515,1
70242-1111100-0,20200417,1
70242-1111100-0,20200416,1
70242-1111100-0,20200518,1
70242-1111100-0,20200519,1
70242-1111100-0,20200413,1
70242-1111100-0,20200410,1
70242-1111100-0,20200310,1
70242-1111100-0,20200311,1
70242-1111100-0,20200312,1
70242-1111100-0,20200313,1
70242-1111100-0,20200219,1
70242-1111100-0,20200218,1
70242-1111100-0,20200316,1
70242-1111100-0,20200317,1
70242-1111100-0,20200318,1
70242-1111100-0,20200214,1
70242-1111100-0,20200604,1
70242-1111100-0,20200605,1
70242-1111100-0,20200211,1
70242-1111100-0,20200210,1
70242-1111100-0,20200213,1
70242-1111100-0,20200212,1
70242-1111100-0,20200421,1
70242-1111100-0,20200319,1
70242-1111100-0,20200403,1
70242-1111100-0,20200602,1
70242-1111100-0,20200603,1
70242-1111100-0,20200505,1
70242-1111100-0,20200504,1
70242-1111100-0,20200507,1
70242-1111100-0,20200506,1
70242-1111100-0,20200501,1
70242-1111100-0,20200427,1
70242-1111100-0,20200424,1
70242-1111100-0,20200320,1
70242-1111100-0,20200428,1
70242-1111100-0,20200601,1
70242-1111100-0,20200508,1
70242-1111100-0,20200303,1
70242-1111100-0,20200302,1
70242-1111100-0,20200429,1
70242-1111100-0,20200306,1
70242-1111100-0,20200305,1
70242-1111100-0,20200304,1
70242-1111100-0,20200309,1
70242-1111100-0,20200522,1
70242-1111100-0,20200224,1
70242-1111100-0,20200225,1
70242-1111100-0,20200422,1
70242-1111100-0,20200227,1
70242-1111100-0,20200220,1
70242-1111100-0,20200521,1
70242-1111100-0,20200406,1
70242-1111100-0,20200326,1
70242-1111100-0,20200228,1
70242-1111100-0,20200226,1
70242-1111100-0,20200423,1
70242-1111100-0,20200430,1
70242-1111100-0,20200330,1
70242-1111100-0,20200331,1
70242-1111100-0,20200402,1
70242-1111100-0,20200420,1
70242-1111100-0,20200130,1
70242-1111100-0,20200131,1
7018525-0000100-25,20200605,1
7018525-0000100-25,20200522,1
7018525-0000100-25,20200529,1
6960931-1111100-31,20190911,1
6960931-1111100-31,20191029,1
6960931-1111100-31,20191028,1
6960931-1111100-31,20190920,1
6960931-1111100-31,20190927,1
6960931-1111100-31,20190926,1
6960931-1111100-31,20190925,1
6960931-1111100-31,20190924,1
6960931-1111100-31,20191021,1
6960931-1111100-31,20191023,1
6960931-1111100-31,20191022,1
6960931-1111100-31,20191024,1
6960931-1111100-31,20191108,1
6960931-1111100-31,20191101,1
6960931-1111100-31,20191106,1
6960931-1111100-31,20191107,1
6960931-1111100-31,20191104,1
6960931-1111100-31,20191105,1
6960931-1111100-31,20200123,1
6960931-1111100-31,20191205,1
6960931-1111100-31,20200121,1
6960931-1111100-31,20191220,1
6960931-1111100-31,20200124,1
6960931-1111100-31,20200107,1
6960931-1111100-31,20190916,1
6960931-1111100-31,20190917,1
6960931-1111100-31,20190912,1
6960931-1111100-31,20190913,1
6960931-1111100-31,20190910,1
6960931-1111100-31,20200122,1
6960931-1111100-31,20191014,1
6960931-1111100-31,20190918,1
6960931-1111100-31,20190919,1
